external_id,source_dataset,source_split,label,speaker_id,voice_id,generator_id,generator_type,duration_s,sample_rate,channels,original_path,processed_path
arm_03397_00105227750,openslr61_argentinian_spanish,n/a,human,arm_03397,arm_03397,n/a,human,4.523,48000,1,raw/openslr61_human/arm_03397_00105227750.wav,processed/original/arm_03397_00105227750.wav
arm_04310_00027560592,openslr61_argentinian_spanish,n/a,human,arm_04310,arm_04310,n/a,human,5.291,48000,1,raw/openslr61_human/arm_04310_00027560592.wav,processed/original/arm_04310_00027560592.wav
arm_04310_00098867816,openslr61_argentinian_spanish,n/a,human,arm_04310,arm_04310,n/a,human,9.472,48000,1,raw/openslr61_human/arm_04310_00098867816.wav,processed/original/arm_04310_00098867816.wav
arm_04310_00125510092,openslr61_argentinian_spanish,n/a,human,arm_04310,arm_04310,n/a,human,7.168,48000,1,raw/openslr61_human/arm_04310_00125510092.wav,processed/original/arm_04310_00125510092.wav
arm_04310_00130630508,openslr61_argentinian_spanish,n/a,human,arm_04310,arm_04310,n/a,human,6.059,48000,1,raw/openslr61_human/arm_04310_00130630508.wav,processed/original/arm_04310_00130630508.wav
arm_04310_00134054436,openslr61_argentinian_spanish,n/a,human,arm_04310,arm_04310,n/a,human,5.035,48000,1,raw/openslr61_human/arm_04310_00134054436.wav,processed/original/arm_04310_00134054436.wav
arm_05223_00019449778,openslr61_argentinian_spanish,n/a,human,arm_05223,arm_05223,n/a,human,4.437,48000,1,raw/openslr61_human/arm_05223_00019449778.wav,processed/original/arm_05223_00019449778.wav
arm_05223_00019828020,openslr61_argentinian_spanish,n/a,human,arm_05223,arm_05223,n/a,human,3.84,48000,1,raw/openslr61_human/arm_05223_00019828020.wav,processed/original/arm_05223_00019828020.wav
arm_05223_00022938290,openslr61_argentinian_spanish,n/a,human,arm_05223,arm_05223,n/a,human,4.267,48000,1,raw/openslr61_human/arm_05223_00022938290.wav,processed/original/arm_05223_00022938290.wav
arm_05223_00037211568,openslr61_argentinian_spanish,n/a,human,arm_05223,arm_05223,n/a,human,5.205,48000,1,raw/openslr61_human/arm_05223_00037211568.wav,processed/original/arm_05223_00037211568.wav
arm_05223_00042751635,openslr61_argentinian_spanish,n/a,human,arm_05223,arm_05223,n/a,human,6.059,48000,1,raw/openslr61_human/arm_05223_00042751635.wav,processed/original/arm_05223_00042751635.wav
arm_06136_00032638294,openslr61_argentinian_spanish,n/a,human,arm_06136,arm_06136,n/a,human,5.632,48000,1,raw/openslr61_human/arm_06136_00032638294.wav,processed/original/arm_06136_00032638294.wav
arm_06136_00035496108,openslr61_argentinian_spanish,n/a,human,arm_06136,arm_06136,n/a,human,4.949,48000,1,raw/openslr61_human/arm_06136_00035496108.wav,processed/original/arm_06136_00035496108.wav
arm_06136_00035963132,openslr61_argentinian_spanish,n/a,human,arm_06136,arm_06136,n/a,human,4.608,48000,1,raw/openslr61_human/arm_06136_00035963132.wav,processed/original/arm_06136_00035963132.wav
arm_06136_00040030944,openslr61_argentinian_spanish,n/a,human,arm_06136,arm_06136,n/a,human,5.376,48000,1,raw/openslr61_human/arm_06136_00040030944.wav,processed/original/arm_06136_00040030944.wav
arm_06136_00062303749,openslr61_argentinian_spanish,n/a,human,arm_06136,arm_06136,n/a,human,3.669,48000,1,raw/openslr61_human/arm_06136_00062303749.wav,processed/original/arm_06136_00062303749.wav
arm_07049_00006372961,openslr61_argentinian_spanish,n/a,human,arm_07049,arm_07049,n/a,human,3.669,48000,1,raw/openslr61_human/arm_07049_00006372961.wav,processed/original/arm_07049_00006372961.wav
arm_07049_00017905992,openslr61_argentinian_spanish,n/a,human,arm_07049,arm_07049,n/a,human,4.779,48000,1,raw/openslr61_human/arm_07049_00017905992.wav,processed/original/arm_07049_00017905992.wav
arm_07049_00021265338,openslr61_argentinian_spanish,n/a,human,arm_07049,arm_07049,n/a,human,4.181,48000,1,raw/openslr61_human/arm_07049_00021265338.wav,processed/original/arm_07049_00021265338.wav
arm_07049_00025212763,openslr61_argentinian_spanish,n/a,human,arm_07049,arm_07049,n/a,human,5.973,48000,1,raw/openslr61_human/arm_07049_00025212763.wav,processed/original/arm_07049_00025212763.wav
arm_07049_00029180157,openslr61_argentinian_spanish,n/a,human,arm_07049,arm_07049,n/a,human,3.413,48000,1,raw/openslr61_human/arm_07049_00029180157.wav,processed/original/arm_07049_00029180157.wav
ext_gtts_000,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.744,24000,1,raw/synthetic_gtts/ext_gtts_000.mp3,processed/original/ext_gtts_000.wav
ext_gtts_001,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.84,24000,1,raw/synthetic_gtts/ext_gtts_001.mp3,processed/original/ext_gtts_001.wav
ext_gtts_002,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.296,24000,1,raw/synthetic_gtts/ext_gtts_002.mp3,processed/original/ext_gtts_002.wav
ext_gtts_003,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.704,24000,1,raw/synthetic_gtts/ext_gtts_003.mp3,processed/original/ext_gtts_003.wav
ext_gtts_004,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.728,24000,1,raw/synthetic_gtts/ext_gtts_004.mp3,processed/original/ext_gtts_004.wav
ext_gtts_005,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,5.328,24000,1,raw/synthetic_gtts/ext_gtts_005.mp3,processed/original/ext_gtts_005.wav
ext_gtts_006,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.656,24000,1,raw/synthetic_gtts/ext_gtts_006.mp3,processed/original/ext_gtts_006.wav
ext_gtts_007,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.912,24000,1,raw/synthetic_gtts/ext_gtts_007.mp3,processed/original/ext_gtts_007.wav
ext_gtts_008,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.2,24000,1,raw/synthetic_gtts/ext_gtts_008.mp3,processed/original/ext_gtts_008.wav
ext_gtts_009,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.648,24000,1,raw/synthetic_gtts/ext_gtts_009.mp3,processed/original/ext_gtts_009.wav
ext_gtts_010,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.104,24000,1,raw/synthetic_gtts/ext_gtts_010.mp3,processed/original/ext_gtts_010.wav
ext_gtts_011,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.584,24000,1,raw/synthetic_gtts/ext_gtts_011.mp3,processed/original/ext_gtts_011.wav
ext_gtts_012,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.392,24000,1,raw/synthetic_gtts/ext_gtts_012.mp3,processed/original/ext_gtts_012.wav
ext_gtts_013,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.456,24000,1,raw/synthetic_gtts/ext_gtts_013.mp3,processed/original/ext_gtts_013.wav
ext_gtts_014,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.2,24000,1,raw/synthetic_gtts/ext_gtts_014.mp3,processed/original/ext_gtts_014.wav
ext_gtts_015,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,5.04,24000,1,raw/synthetic_gtts/ext_gtts_015.mp3,processed/original/ext_gtts_015.wav
ext_gtts_016,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.96,24000,1,raw/synthetic_gtts/ext_gtts_016.mp3,processed/original/ext_gtts_016.wav
ext_gtts_017,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.512,24000,1,raw/synthetic_gtts/ext_gtts_017.mp3,processed/original/ext_gtts_017.wav
ext_gtts_018,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.344,24000,1,raw/synthetic_gtts/ext_gtts_018.mp3,processed/original/ext_gtts_018.wav
ext_gtts_019,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.68,24000,1,raw/synthetic_gtts/ext_gtts_019.mp3,processed/original/ext_gtts_019.wav
ext_gtts_020,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.96,24000,1,raw/synthetic_gtts/ext_gtts_020.mp3,processed/original/ext_gtts_020.wav
ext_gtts_021,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.416,24000,1,raw/synthetic_gtts/ext_gtts_021.mp3,processed/original/ext_gtts_021.wav
ext_gtts_022,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,4.824,24000,1,raw/synthetic_gtts/ext_gtts_022.mp3,processed/original/ext_gtts_022.wav
ext_gtts_023,self_generated_open_tts,n/a,synthetic,n/a,gtts_google_es_default,gtts_google,web_tts,3.96,24000,1,raw/synthetic_gtts/ext_gtts_023.mp3,processed/original/ext_gtts_023.wav
ext_espeak_000,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,2.997,22050,1,raw/synthetic_espeak/ext_espeak_000.wav,processed/original/ext_espeak_000.wav
ext_espeak_001,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.178,22050,1,raw/synthetic_espeak/ext_espeak_001.wav,processed/original/ext_espeak_001.wav
ext_espeak_002,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.22,22050,1,raw/synthetic_espeak/ext_espeak_002.wav,processed/original/ext_espeak_002.wav
ext_espeak_003,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.629,22050,1,raw/synthetic_espeak/ext_espeak_003.wav,processed/original/ext_espeak_003.wav
ext_espeak_004,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.376,22050,1,raw/synthetic_espeak/ext_espeak_004.wav,processed/original/ext_espeak_004.wav
ext_espeak_005,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.981,22050,1,raw/synthetic_espeak/ext_espeak_005.wav,processed/original/ext_espeak_005.wav
ext_espeak_006,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.593,22050,1,raw/synthetic_espeak/ext_espeak_006.wav,processed/original/ext_espeak_006.wav
ext_espeak_007,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.221,22050,1,raw/synthetic_espeak/ext_espeak_007.wav,processed/original/ext_espeak_007.wav
ext_espeak_008,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.362,22050,1,raw/synthetic_espeak/ext_espeak_008.wav,processed/original/ext_espeak_008.wav
ext_espeak_009,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,2.913,22050,1,raw/synthetic_espeak/ext_espeak_009.wav,processed/original/ext_espeak_009.wav
ext_espeak_010,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,2.993,22050,1,raw/synthetic_espeak/ext_espeak_010.wav,processed/original/ext_espeak_010.wav
ext_espeak_011,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.846,22050,1,raw/synthetic_espeak/ext_espeak_011.wav,processed/original/ext_espeak_011.wav
ext_espeak_012,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.497,22050,1,raw/synthetic_espeak/ext_espeak_012.wav,processed/original/ext_espeak_012.wav
ext_espeak_013,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,2.934,22050,1,raw/synthetic_espeak/ext_espeak_013.wav,processed/original/ext_espeak_013.wav
ext_espeak_014,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.181,22050,1,raw/synthetic_espeak/ext_espeak_014.wav,processed/original/ext_espeak_014.wav
ext_espeak_015,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,4.048,22050,1,raw/synthetic_espeak/ext_espeak_015.wav,processed/original/ext_espeak_015.wav
ext_espeak_016,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.082,22050,1,raw/synthetic_espeak/ext_espeak_016.wav,processed/original/ext_espeak_016.wav
ext_espeak_017,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.579,22050,1,raw/synthetic_espeak/ext_espeak_017.wav,processed/original/ext_espeak_017.wav
ext_espeak_018,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.608,22050,1,raw/synthetic_espeak/ext_espeak_018.wav,processed/original/ext_espeak_018.wav
ext_espeak_019,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.69,22050,1,raw/synthetic_espeak/ext_espeak_019.wav,processed/original/ext_espeak_019.wav
ext_espeak_020,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.224,22050,1,raw/synthetic_espeak/ext_espeak_020.wav,processed/original/ext_espeak_020.wav
ext_espeak_021,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.31,22050,1,raw/synthetic_espeak/ext_espeak_021.wav,processed/original/ext_espeak_021.wav
ext_espeak_022,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,4.006,22050,1,raw/synthetic_espeak/ext_espeak_022.wav,processed/original/ext_espeak_022.wav
ext_espeak_023,self_generated_open_tts,n/a,synthetic,n/a,espeak_ng_es_default,espeak_ng,formant_synthesis,3.364,22050,1,raw/synthetic_espeak/ext_espeak_023.wav,processed/original/ext_espeak_023.wav
