speaker_id,utt_id,codec,tx_route,system_id,label,trim,subset
LA_0066,LA_E_7917771,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0066,LA_E_1330177,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0066,LA_E_6486185,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0004,LA_E_3742346,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0004,LA_E_7014872,pstn,mad_tx,bonafide,bonafide,only_speech,hidden
LA_0004,LA_E_5320088,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0004,LA_E_5568665,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0004,LA_E_4209419,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0036,LA_E_2496939,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0036,LA_E_9833031,pstn,mad_tx,bonafide,bonafide,only_speech,hidden
LA_0036,LA_E_1272900,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0036,LA_E_8350233,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0036,LA_E_6960865,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0013,LA_E_6498118,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0013,LA_E_2947094,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0013,LA_E_6483849,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0013,LA_E_2373042,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0013,LA_E_2158538,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0046,LA_E_2297510,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0046,LA_E_6831379,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0046,LA_E_3985410,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0046,LA_E_1547361,pstn,mad_tx,bonafide,bonafide,only_speech,hidden
LA_0046,LA_E_6358225,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0042,LA_E_3477030,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0042,LA_E_1014221,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0042,LA_E_9925409,pstn,mad_tx,bonafide,bonafide,notrim,progress
LA_0042,LA_E_1557180,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0042,LA_E_9927434,pstn,mad_tx,bonafide,bonafide,notrim,eval
LA_0013,LA_E_4776864,pstn,mad_tx,A18,spoof,notrim,eval
LA_0018,LA_E_3703331,pstn,mad_tx,A18,spoof,notrim,eval
LA_0014,LA_E_2554340,pstn,mad_tx,A18,spoof,notrim,eval
LA_0014,LA_E_3321020,pstn,mad_tx,A18,spoof,only_speech,hidden
LA_0018,LA_E_2359255,pstn,mad_tx,A18,spoof,notrim,eval
LA_0016,LA_E_6149537,pstn,mad_tx,A15,spoof,notrim,eval
LA_0011,LA_E_7057702,pstn,mad_tx,A15,spoof,notrim,eval
LA_0027,LA_E_5619909,pstn,mad_tx,A15,spoof,notrim,eval
LA_0014,LA_E_6425019,pstn,mad_tx,A15,spoof,notrim,eval
LA_0014,LA_E_4952180,pstn,mad_tx,A15,spoof,notrim,eval
LA_0002,LA_E_4101052,pstn,mad_tx,A13,spoof,notrim,eval
LA_0031,LA_E_3305163,pstn,mad_tx,A13,spoof,notrim,eval
LA_0036,LA_E_2728510,pstn,mad_tx,A13,spoof,notrim,eval
LA_0022,LA_E_1925138,pstn,mad_tx,A13,spoof,notrim,eval
LA_0005,LA_E_5830919,pstn,mad_tx,A13,spoof,notrim,progress
LA_0030,LA_E_1217970,pstn,mad_tx,A10,spoof,notrim,eval
LA_0031,LA_E_6384983,pstn,mad_tx,A10,spoof,notrim,eval
LA_0045,LA_E_9328661,pstn,mad_tx,A10,spoof,notrim,eval
LA_0022,LA_E_6588681,pstn,mad_tx,A10,spoof,notrim,progress
LA_0021,LA_E_3103733,pstn,mad_tx,A10,spoof,notrim,eval
LA_0013,LA_E_2339661,pstn,mad_tx,A14,spoof,notrim,eval
LA_0046,LA_E_9181204,pstn,mad_tx,A14,spoof,notrim,progress
LA_0001,LA_E_7395664,pstn,mad_tx,A14,spoof,notrim,eval
LA_0042,LA_E_7246397,pstn,mad_tx,A14,spoof,notrim,eval
LA_0013,LA_E_8188249,pstn,mad_tx,A14,spoof,notrim,eval
LA_0013,LA_E_2333881,pstn,mad_tx,A11,spoof,notrim,eval
LA_0006,LA_E_2675000,pstn,mad_tx,A11,spoof,notrim,eval
LA_0001,LA_E_4407041,pstn,mad_tx,A11,spoof,notrim,eval
LA_0042,LA_E_8391613,pstn,mad_tx,A11,spoof,notrim,eval
LA_0013,LA_E_7106176,pstn,mad_tx,A11,spoof,notrim,eval
LA_0021,LA_E_3322014,pstn,mad_tx,A17,spoof,notrim,eval
LA_0020,LA_E_2701080,pstn,mad_tx,A17,spoof,notrim,eval
LA_0012,LA_E_2678910,pstn,mad_tx,A17,spoof,notrim,eval
LA_0030,LA_E_1459595,pstn,mad_tx,A17,spoof,notrim,eval
LA_0013,LA_E_2234931,pstn,mad_tx,A17,spoof,notrim,eval
LA_0037,LA_E_2944090,pstn,mad_tx,A07,spoof,notrim,eval
LA_0006,LA_E_5844925,pstn,mad_tx,A07,spoof,notrim,progress
LA_0005,LA_E_8085203,pstn,mad_tx,A07,spoof,notrim,eval
LA_0033,LA_E_1258670,pstn,mad_tx,A07,spoof,notrim,progress
LA_0011,LA_E_3660346,pstn,mad_tx,A07,spoof,notrim,progress
